"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$TxfLogContainer00000000000000000002"	""	"r"	""	"2009-11-20 22:38:30 PKT"	"2009-11-20 22:38:30 PKT"	"2009-11-20 22:39:44 PKT"	"10485760"	"34"	"f1c9645dbc14efddc7d8a322685f26eb"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002"
"$UsnJrnl:$J"	""	"r"	""	"2009-11-25 02:40:07 PKT"	"2009-11-25 02:40:07 PKT"	"2009-11-25 02:40:07 PKT"	"112640"	"36"	"d017ae14443f763528421006270362ce"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$UsnJrnl:$J"
"$UsnJrnl:$J-slack"	""	"r"	""	"2009-11-25 02:40:07 PKT"	"2009-11-25 02:40:07 PKT"	"2009-11-25 02:40:07 PKT"	"411648"	"36"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$UsnJrnl:$J-slack"
"$UsnJrnl:$Max"	""	"r"	""	"2009-11-25 02:40:07 PKT"	"2009-11-25 02:40:07 PKT"	"2009-11-25 02:40:07 PKT"	"32"	"36"	"7f3260262f325901c43cf76b086f29c0"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Extend/$UsnJrnl:$Max"
"$LogFile"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"7405568"	"2"	"6f2206ce18b12f48c9cc83f8b0d6c1f1"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$LogFile"
"$MFT"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"262144"	"0"	"dcace4c8ca40db49c84d340b7b327502"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$MFT"
"$MFTMirr"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"4096"	"1"	"0c065b2029f182f70a4b7772907f677a"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$MFTMirr"
"$Secure:$SDS"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"263148"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Secure:$SDS"
"$Secure:$SDS-slack"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"3092"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$Secure:$SDS-slack"
"$UpCase"	""	"r"	""	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"2009-11-20 22:38:09 PKT"	"131072"	"10"	"7ff498a44e45e77374cc7c962b1b92f2"	"unknown"	"rr-xr-xr-x"	"/img_evidence.E01/vol_vol2/$UpCase"
